record_id;family;genus;epithet;author;commonname;project;matrix_kind;localization;latitude;longitude;height;collector;collect_date;seed_size;fruit_mass;initial_mass;result_mass;weight_in_1000;seeds_in_kg;humidity;germinability;seed_handling;observations;storage;germinability_history;humidity_history;days_after_storage;test_date_storage;inserted_in_system
2774;Fabaceae;Senegalia;polyphylla;(DC.) Britton & Rose;espinheiro, unha-de-gato;RAP;matrix;Paraíba|Cajazeiras;-6.931686783;-38.63017265;362;M.L.C.B. Campello;13/10/2022;S;1300;204;204;32.063;31188.6;7.71;54;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;14/02/2023
2775;Bromeliaceae;Encholirium;spectabile;Mart. ex Schult. & Schult.f.;macambira-de-flecha, macambira;RAP;deforested area;Ceará|Ipaumirim;-6.764521625;-38.64489763;337;L.P.B. Santos;29/11/2022;XS;4000;329.6;329.6;0.584125;1711962.34;13.1;67;ND;NA;Plastic bag;NA;NA;NA;NA;17/02/2023
2776;Polygonaceae;Triplaris;gardneriana;Wedd.;pajeú, pau-novateiro;RAP;matrix;Paraíba|Cajazeiras;-6.932165045;-38.62867864;348;L.P.B. Santos;17/10/2022;M;1300;450;0;102.2542;9779.55;11.29;15;ND;NA;Plastic bag;NA;NA;NA;NA;17/02/2023
2777;Anacardiaceae;Astronium;graveolens;Jacq.;aroeirão, gonçalo-alves, guaritá;RAP;matrix;Paraíba|Cajazeiras;-7.02349021;-38.58424192;358;V.S. Gomes;23/11/2022;S;500;204.3;204.3;34.4776;29004.34;8.34;99;ND;NA;Plastic bag;NA;NA;NA;NA;17/02/2023
2778;Bromeliaceae;Encholirium;spectabile;Mart. ex Schult. & Schult.f.;macambira-de-flecha, macambira;RAP;deforested area;Ceará|Ipaumirim;-6.820903119;-38.66831445;306;V.S. Gomes;05/01/2023;XS;3800;266;266;0.6461;1547748.03;5.86;24;ND;NA;Plastic bag;NA;NA;NA;NA;17/02/2023
2779;Fabaceae;Geoffroea;spinosa;Jacq.;marizeiro;RAP;matrix;Ceará|Ipaumirim;-6.7891139;-38.66545848;289;L.P.B. Santos;25/01/2023;XL;7500;890;0;2404.25;415.93;19.35;21;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;17/02/2023
2780;Cactaceae;Cereus;jamacaru;DC.;mandacaru;RAP;matrix;Rio Grande do Norte|José da Penha;-6.362477692;-38.25672608;273;L.N. Maximo;30/01/2023;XS;3340;60;60;3.7353;267716.11;7.91;62;ND;NA;Plastic bag;NA;NA;NA;NA;17/02/2023
2781;Fabaceae;Geoffroea;spinosa;Jacq.;marizeiro;RAP;matrix;Paraíba|Cachoeira dos Índios;-6.999767363;-38.66923093;349;L.P.B. Santos;31/01/2023;XL;28220;7260;0;3685.875;271.31;33.81;39;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;17/02/2023
2782;Chrysobalanaceae;Microdesmia;rigida;(Benth.) Sothers & Prance;oiticica;RAP;matrix;Paraíba|Cajazeiras;-7.004607339;-38.61075872;348;L.N. Maximo;12/01/2023;L;18000;3560;0;1662.146;601.63;4.63;7;ND;NA;Plastic bag;NA;NA;NA;NA;23/02/2023
2783;Chrysobalanaceae;Microdesmia;rigida;(Benth.) Sothers & Prance;oiticica;RAP;deforested area;Paraíba|Cachoeira dos Índios;-6.920791179;-38.66061429;319;L.P.B. Santos;11/01/2023;L;36000;7200;0;1252.8868;798.16;5.7;7;ND;NA;Plastic bag;NA;NA;NA;NA;23/02/2023
2784;Chrysobalanaceae;Microdesmia;rigida;(Benth.) Sothers & Prance;oiticica;RAP;matrix;Paraíba|Triunfo;-6.608976355;-38.60765781;295;V.S. Gomes;30/01/2023;L;17430;4688;0;2134.25;468.55;5.84;76;ND;NA;Plastic bag;NA;NA;NA;NA;27/02/2023
2785;Cordiaceae;Cordia;oncocalyx;Allemão;pau-branco;RAP;matrix;Ceará|Baixio;-6.74461757;-38.67962335;344;V.S. Gomes;13/12/2022;L;3500;1700;1700;977.3408;1023.18;9.48;65;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;28/02/2023
2786;Sapotaceae;Sideroxylon;obtusifolium;(Roem. & Schult.) T.D.Penn.;quixabeira;PISF;matrix region;Pernambuco|Sertânia;-8.102829163;-37.36766638;556;F.S. Souza;25/01/2023;M;13340;1044.3;1044.3;125.175;7988.82;6.45;8;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;28/02/2023
2787;Sapotaceae;Sideroxylon;obtusifolium;(Roem. & Schult.) T.D.Penn.;quixabeira;PISF;matrix region;Pernambuco|Sertânia;-8.11239546;-37.41108993;523;F.S. Souza;25/01/2023;M;26350;3280.5;3280.5;127.9172;7817.56;6.1;13;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;28/02/2023
2788;Sapotaceae;Sideroxylon;obtusifolium;(Roem. & Schult.) T.D.Penn.;quixabeira;PISF;matrix region;Pernambuco|Sertânia;-8.076249036;-37.43325138;516;F.S. Souza;26/01/2023;M;43730;3810;3810;111.1961;8993.12;5.99;23;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;28/02/2023
2789;Rhamnaceae;Sarcomphalus;joazeiro;(Mart.)Hauenshild;juazeiro;RAP;matrix;Rio Grande do Norte|José da Penha;-6.366025412;-38.25805006;270;L.N. Maximo;30/01/2023;M;11540;1528.6;1528.6;536.1593;1865.12;12.76;51;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;28/02/2023
2795;Arecaceae;Copernicia;prunifera;(Mill.) H.E.Moore;carnaubeira;RAP;matrix;Paraíba|Uiraúna;-6.553477896;-38.47675435;290;V.S. Gomes;18/01/2023;L;25000;6450;0;1516.8921;659.24;12.09;9;PY - imbibition;NA;Plastic bag;NA;NA;NA;NA;07/03/2023
2796;Fabaceae;Senna;uniflora;(Mill.) H.S.Irwin & Barneby;mata-pasto-cabeludo;RAG;matrix region;Pernambuco|Sertânia;-8.101074967;-37.43690284;525;F.S. Souza;11/08/2022;XS;16480;5380;5380;12.8725;77684.99;10.26;100;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;07/03/2023
2797;Fabaceae;Senna;uniflora;(Mill.) H.S.Irwin & Barneby;mata-pasto-cabeludo;PISF;matrix region;Paraíba|Sousa;-6.779288447;-38.13126184;218;E.P. Silva;09/08/2022;XS;5490;1020;1020;13.11775;76232.59;9.66;100;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;07/03/2023
2798;Fabaceae;Senna;uniflora;(Mill.) H.S.Irwin & Barneby;mata-pasto-cabeludo;PRAD;matrix region;Bahia|Jeremoabo;-10.14177478;-38.29226117;263;V.G.T. Junior;15/09/2022;XS;6270;1620;1620;13.6693;73156.64;10.21;92;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;07/03/2023
2799;Fabaceae;Senna;uniflora;(Mill.) H.S.Irwin & Barneby;mata-pasto-cabeludo;PRAD;matrix region;Bahia|Jeremoabo;-10.13228168;-38.29784979;251;E.P. Silva;16/09/2022;XS;14360;4570;4570;13.467;74255.59;9.82;100;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;07/03/2023
2800;Fabaceae;Senna;uniflora;(Mill.) H.S.Irwin & Barneby;mata-pasto-cabeludo;PRAD;matrix region;Bahia|Jeremoabo;-10.13228168;-38.29784979;251;E.P. Silva;03/10/2022;XS;15550;5400;5400;13.6938;73025.75;10.11;100;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;07/03/2023
2801;Fabaceae;Senna;uniflora;(Mill.) H.S.Irwin & Barneby;mata-pasto-cabeludo;PRAD;matrix region;Bahia|Jeremoabo;-10.14177478;-38.29226117;263;E.P. Silva;04/10/2022;XS;15600;5750;5750;12.7416;78483.08;10.35;100;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;07/03/2023
2802;Fabaceae;Senna;uniflora;(Mill.) H.S.Irwin & Barneby;mata-pasto-cabeludo;PRAD;matrix region;Bahia|Jeremoabo;-10.12059387;-38.29637835;245;E.P. Silva;28/09/2022;XS;22860;8585;8585;14.0643;71102.01;8.87;95;PY - mechanically scarified;NA;Plastic drum;NA;NA;NA;NA;07/03/2023
2806;Cordiaceae;Cordia;oncocalyx;Allemão;pau-branco;RAP;matrix;Ceará|Ipaumirim;-6.816380241;-38.66840806;304;M.L.C.B. Campello;28/11/2022;L;6500;3145;3145;1068.4257;935.96;9.58;56;PD - removal partial or total of the endocarp;NA;Plastic drum;NA;NA;NA;NA;15/03/2023
2807;Fabaceae;Piptadenia;retusa;(Jacq.) P.G. Ribeiro, Seigler & Ebinger;espinheiro, unha-de-gato;RAP;deforested area;Paraíba|Cajazeiras;-7.044202116;-38.60182529;394;L.P.B. Santos;24/11/2022;S;1500;457.9;457.9;33.615;29748.62;8.81;84;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;15/03/2023
2808;Polygonaceae;Triplaris;gardneriana;Wedd.;pajeú, pau-novateiro;RAP;matrix region;Ceará|Baixio;-6.73894124;-38.659548;332;M.L.C.B. Campello;26/10/2022;M;5500;2653;2153;122.6868;8150.84;11.51;27;ND;NA;Plastic bag;NA;NA;NA;NA;17/03/2023
2809;Euphorbiaceae;Jatropha;ribifolia;(Pohl) Baill.;pinhãozinho, pinhão-pequeno, pinhão-miudo, pião;PRAD;matrix region;Pernambuco|Petrolina;-9.327111807;-40.54725375;389;E.S. Damasceno;21/01/2023;M;980;332.6;332.6;68.5976;14577.77;6.88;29;PY - mechanically scarified;Coleta realizada na UNIVASF/CCA.;Plastic bag;NA;NA;NA;NA;17/03/2023
2812;Cordiaceae;Cordia;oncocalyx;Allemão;pau-branco;RAP;matrix;Ceará|Ipaumirim;-6.860873768;-38.69079669;311;L.N. Maximo;25/11/2022;L;10000;4475;4135;1095.0955;913.16;8.39;31;PD - removal partial or total of the endocarp;NA;Plastic drum;NA;NA;NA;NA;29/03/2023
2813;Cordiaceae;Cordia;oncocalyx;Allemão;pau-branco;RAP;matrix;Paraíba|Bom Jesus;-6.835560762;-38.67316448;331;V.S. Gomes;05/12/2022;L;13200;7985;7655;1059.933;943.46;9.28;38;PD - removal partial or total of the endocarp;NA;Plastic drum;NA;NA;NA;NA;29/03/2023
2814;Combretaceae;Combretum;leprosum;Mart.;mofumbo;RAP;deforested area;Paraíba|Cajazeiras;-6.972620673;-38.65631312;333;L.P.B. Santos;29/09/2022;M;2000;1490;1320;101.107;9890.51;11.2;17;ND;NA;Nylon bag;NA;NA;NA;NA;11/04/2023
2815;Sapindaceae;Sapindus;saponaria;L.;saboneteira;RAP;matrix;Paraíba|Poço de José de Moura;-6.571317261;-38.46923709;299;L.P.B. Santos;10/01/2023;M;9000;2980;2980;906.4813;1103.17;5.14;6;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;17/04/2023
2816;Sapindaceae;Sapindus;saponaria;L.;saboneteira;RAP;deforested area;Paraíba|Cajazeiras;-6.956301939;-38.65620731;333;V.S. Gomes;09/01/2023;M;4000;960;960;852.032;1173.66;5.74;4;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;17/04/2023
2817;Sapindaceae;Sapindus;saponaria;L.;saboneteira;RAP;matrix;Paraíba|Poço de José de Moura;-6.571317261;-38.46923709;291;V.S. Gomes;21/12/2022;M;8100;6630;6630;883.6983;1131.61;6.52;1;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;17/04/2023
2818;Sapindaceae;Sapindus;saponaria;L.;saboneteira;RAP;matrix;Paraíba|Cachoeira dos Índios;-6.941589149;-38.65035198;330;L.N. Maximo;06/01/2023;M;5700;2700;2700;896.012;1116.06;7.97;8;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;17/04/2023
